model_gene_id	TPM_gmean
g.580.peg.2302	274.0629424
g.580.peg.750	396.4678965
g.580.peg.949	92.13508454
g.580.peg.845	203.5633104
g.580.peg.340	1198.079838
g.580.peg.2139	146.2339139
g.580.peg.33	80.45785066
g.580.peg.842	166.2544517
g.580.peg.374	256.0999095
g.580.peg.298	268.2860419
g.580.peg.1115	22.83451498
g.580.peg.1083	50.03715429
g.580.peg.1619	10.03897118
g.580.peg.839	455.0168935
g.580.peg.635	387.7217274
g.580.peg.908	47.68881358
g.580.peg.186	153.4457693
g.580.peg.358	40.03468802
g.580.peg.1876	148.541849
g.580.peg.1237	120.8484963
g.580.peg.1980	38.92890675
g.580.peg.1013	74.96786479
g.580.peg.1832	107.4970492
g.580.peg.621	102.9499791
g.580.peg.369	120.2008731
g.580.peg.1582	93.94767571
g.580.peg.1590	69.27560462
g.580.peg.547	81.3148167
g.580.peg.1203	165.0070899
g.580.peg.1691	75.91015244
g.580.peg.1794	147.2545703
g.580.peg.1797	4047.987284
g.580.peg.811	689.4397138
g.580.peg.510	689.4397138
g.580.peg.99	109.9239984
g.580.peg.1425	48.23741616
g.580.peg.824	90.5574944
g.580.peg.1012	117.4407579
g.580.peg.2165	81.50371182
g.580.peg.2041	40.8497936
g.580.peg.215	194.7943199
g.580.peg.627	59.92315608
g.580.peg.1963	44.80673861
g.580.peg.1668	71.62640776
g.580.peg.1758	46.92380272
g.580.peg.788	279.3385813
g.580.peg.4	40.34635327
g.580.peg.1867	84.43088769
g.580.peg.1278	93.75388723
g.580.peg.859	30.25432414
g.580.peg.941	11.50839988
g.580.peg.387	151.8158471
g.580.peg.500	11.82321249
g.580.peg.446	900.9543815
g.580.peg.1645	156.9200699
g.580.peg.332	286.74711
g.580.peg.791	83.06069466
g.580.peg.1445	1003.07744
g.580.peg.1817	835.5243474
g.580.peg.1846	204.3138189
g.580.peg.656	86.03486605
g.580.peg.1574	56.14776085
g.580.peg.867	59.99596923
g.580.peg.273	113.9309831
g.580.peg.230	373.3724227
g.580.peg.40	140.9921212
g.580.peg.1881	2086.160619
g.580.peg.705	60.71436551
g.580.peg.44	71.77746671
g.580.peg.73	66.26326138
g.580.peg.902	49.09828972
g.580.peg.1351	44.73695286
g.580.peg.1733	88.30425562
g.580.peg.380	30.21041445
g.580.peg.398	398.062992
g.580.peg.535	50.42452457
g.580.peg.1409	15.76431725
g.580.peg.1913	132.2114959
g.580.peg.1285	58.85840133
g.580.peg.471	211.2992344
g.580.peg.1343	51.33544733
g.580.peg.852	291.0468678
g.580.peg.2074	71.94216357
g.580.peg.157	761.0204422
g.580.peg.2198	347.8883819
g.580.peg.1126	246.900635
g.580.peg.1568	216.8971832
g.580.peg.2168	28.84261593
g.580.peg.2389	63.97320673
g.580.peg.540	46.37819628
g.580.peg.1770	1541.780084
g.580.peg.1813	2108.823634
