feature	lfc_(Intercept)	lfc_regionTw	lfc_mol_typeRNA	lfc_region:mol_type	se_(Intercept)	se_regionTw	se_mol_typeRNA	se_region:mol_type	W_(Intercept)	W_regionTw	W_mol_typeRNA	W_region:mol_type	p_(Intercept)	p_regionTw	p_mol_typeRNA	p_region:mol_type	q_(Intercept)	q_regionTw	q_mol_typeRNA	q_region:mol_type	diff_(Intercept)	diff_regionTw	diff_mol_typeRNA	diff_regionTw:mol_typeRNA	passed_ss_(Intercept)	passed_ss_regionTw	passed_ss_mol_typeRNA	passed_ss_region:mol_type
COG0443	-0.8218529149934933	-0.2716365528486945	2.1984515753333382	0.051619627233962115	0.17475158833260124	0.2268372625349668	0.24745269722942467	0.3295919917194753	-4.702978226608601	-1.197495287207594	8.884330621359336	0.1566167520171333	1.3762716935596905e-5	0.2365905628082697	1.869530891665961e-11	0.8762484185735797	4.5297964951560486e-5	0.4037720033891621	3.117665325054379e-10	0.9068031802141479	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
COG0445	-1.135425194908589	1.7218566902113983	0.25539302158024824	0.6095538730741443	0.22688246799850034	0.30921022191644487	0.34065813479851365	0.45494097888095847	-5.004464227337715	5.568563288559976	0.7497047494001677	1.3398526432450537	4.5290449695843385e-6	5.261394235471623e-7	0.4561374940574764	0.18495870470680667	1.5734836789170987e-5	2.852229506597775e-6	0.5203236169997663	0.29282341043545973	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
COG0446	-0.337471641700606	0.4711852840047261	0.22846346526935263	0.5676643810137422	0.2931469734546144	0.4037737529075749	0.42325297858877897	0.5801142314422578	-1.1512028854456315	1.1669537225035573	0.5397799349956176	0.9785389674072237	0.2536806105317374	0.24730508931751857	0.5911121186924644	0.3312764147676429	0.3419513079607946	0.41758072458531825	0.6530203910602557	0.4486194913056015	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
COG0447	-0.6429024326578064	-0.10528585323258252	0.7742928610831546	1.473755616404108	0.19794778844604566	0.2678228523371899	0.29444891309040644	0.3929510849098063	-3.247838420953318	-0.3931175114960962	2.6296339591018247	3.750481098028722	0.001829859726394675	0.6954996484950305	0.010625036859404685	3.742850411630007e-4	0.004318173020103876	0.8594353454585734	0.019460710816754816	0.0036208458954498026	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
COG0449	-0.232300904374391	0.03846162417967025	-0.13022081878727298	1.3778261229960205	0.2009974624005592	0.2721873302285372	0.29891024179082665	0.3991878692909905	-1.1557404834865452	0.1413057108403122	-0.4356519134543398	3.45157312882082	0.2519540963073962	0.8880588619618138	0.6645108303883014	9.769718916929763e-4	0.34014774297166595	0.9533973435285934	0.7213629659081933	0.006788403898231752	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
COG0450	-1.2914642037574646	0.32418363685988816	2.8364085056301858	-0.534207760491948	0.17538866992330437	0.23178164304597976	0.25309135102249714	0.3376026224755179	-7.3634414601707645	1.3986596720930922	11.207054267840466	-1.5823566670625828	3.2711069934693665e-10	0.16763770723954796	6.0187493586003694e-15	0.12019337902300664	1.9482001175390683e-9	0.3073650527502078	2.395188665206647e-13	0.21172898055260023	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
COG0451	-0.20159550553511896	0.9978743299272179	-0.3516108628067836	-0.6614725863843683	0.20658686029228945	0.25735420018147886	0.2870467469552132	0.37747164520214105	-0.9758389534062889	3.8774355702123584	-1.2249254399724798	-1.7523768865609524	0.3333238540298432	3.283386373401256e-4	0.22724287015913933	0.086985045372144	0.4302477368192232	0.001127295988201098	0.2898050004724348	0.16809208096629658	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
COG0452	0.28107887618853333	0.05347808475569875	-0.4107415343051546	-0.1366918713642678	0.18123514676450186	0.23902449584362698	0.26401671891219936	0.35026699410790574	1.5509071016659317	0.22373474554124706	-1.555740621266298	-0.390250505082296	0.1257453099313688	0.823791969989056	0.12596421589692808	0.6979969792280071	0.1891581079809508	0.9288214677725931	0.1746344750875068	0.7765643056012722	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
COG0456	0.04114638184048662	0.3387679793381458	0.05825131545797002	-0.36661036500291927	0.1482966188939862	0.19173946076676154	0.21329699322520046	0.2814161768177083	0.277460013231328	1.766814081897491	0.2730995621512014	-1.3027337985633882	0.7823126590415697	0.08284297787986009	0.785922819307142	0.19874650714492567	0.8367925876492294	0.1676971725637399	0.8254631771775597	0.3069290532690081	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
COG0457	-0.015233641956390464	0.6915719557071831	-0.9535392779657944	0.9890307983893967	0.22086344711717945	0.29755038921468707	0.32082700754500965	0.4319864111405695	-0.0689731241417609	2.324217950218185	-2.9721290774811715	2.2894951620771318	0.9452168052441896	0.023891160354836367	0.00457891851390283	0.026439998837864645	0.9605772640641764	0.05715527001206925	0.009279697085459235	0.07107278084571626	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
