feature	lfc_(Intercept)	lfc_regionTw	lfc_mol_typeRNA	lfc_region:mol_type	se_(Intercept)	se_regionTw	se_mol_typeRNA	se_region:mol_type	W_(Intercept)	W_regionTw	W_mol_typeRNA	W_region:mol_type	p_(Intercept)	p_regionTw	p_mol_typeRNA	p_region:mol_type	q_(Intercept)	q_regionTw	q_mol_typeRNA	q_region:mol_type	diff_(Intercept)	diff_regionTw	diff_mol_typeRNA	diff_regionTw:mol_typeRNA	passed_ss_(Intercept)	passed_ss_regionTw	passed_ss_mol_typeRNA	passed_ss_region:mol_type
3NVHZ	0.17026649363208454	0.14706605301438824	-0.8229123208523612	0.14185600357090636	0.27187535725833123	0.460880654678421	0.40744794193292966	0.6486154374930531	0.6262667398365946	0.31909790858330433	-2.0196747514503866	0.21870587002861105	0.5345290980557574	0.7512339516310801	0.04982751034044069	0.8279384763004576	0.7366071717109828	0.9770563778141853	0.09707773566327238	0.9826535973426399	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
3NVIS	-0.6322938652295143	0.2624371798195684	1.841170421419564	-0.29928450004414375	0.3262231144315764	0.5381848381870026	0.4404206028030331	0.6895921701373431	-1.938225212309824	0.48763391533594186	4.180482043077764	-0.4340021725950522	0.057794404159044445	0.6282631204290615	1.8224903613883305e-4	0.6666646970114811	0.14946660629514577	0.9770563778141853	8.953974384212232e-4	0.9826535973426399	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
3NVJA	0.7403601650223414	-0.0032267602316586484	-1.8778101414041055	0.3582526664105529	0.26237853740918016	0.44362894350780885	0.40392880806651926	0.623262200928164	2.8217253298723413	-0.007273556603733747	-4.64886411640852	0.574802492236882	0.007332721595983082	0.9942318693737984	3.443554022234076e-5	0.5685658006941692	0.04404246924181569	0.9942318693737984	2.7794400322317896e-4	0.9826535973426399	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
3NVMJ	-0.05095114339261657	0.39915286970867475	0.2237662221957299	-0.9553346762084899	0.27322866110079075	0.4671770003649836	0.3804569244960867	0.6304599809193632	-0.18647803340741514	0.8543932372459159	0.5881512670379364	-1.5152978858632404	0.8529215568999646	0.39872822890977044	0.5614386527910369	0.13952548759490405	0.8959696225679421	0.9770563778141853	0.7019762488171207	0.9217150406803057	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
3NVN7	-0.1472507616641024	-0.15290500267790288	-0.18665144038141113	0.5670994357019202	0.2894885236306807	0.4589967226575415	0.36934304483154207	0.6022136846679893	-0.5086583738012348	-0.33312874608907755	-0.5053606477591669	0.9416913798871439	0.6138679016698098	0.7410481691473618	0.6172138219958704	0.3539503714650759	0.785911767000763	0.9770563778141853	0.7499479772637995	0.9737186131559217	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
3NVNR	-0.6563240764335515	-0.03442399531471577	1.23781274989753	0.052069238320914195	0.23950026496957436	0.3800572934000826	0.3189573313494567	0.5031637396417332	-2.7403897716644683	-0.09057580504968225	3.880809839549839	0.10348368576398005	0.00915302927203759	0.9283843638473319	6.246514101631104e-4	0.9182726893706467	0.051714615387012386	0.9942318693737984	0.002433986529256258	0.9826535973426399	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
3NVNX	1.1037340830617213	0.13138296858769594	-0.8843613528461035	0.3465015342437338	0.24686218287766767	0.3725590201310466	0.36305506262309944	0.521940192144254	4.4710537280174485	0.3526500808958601	-2.4358876762564	0.6638721053847633	3.3150690520239125e-5	0.7255278971696782	0.01769563118671806	0.509194496334507	0.0018730140143935106	0.9770563778141853	0.043627346971774526	0.9826535973426399	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
3NVPF	-0.25755056587752545	-0.09599308392912612	0.12074451762133115	0.2452436263387985	0.23803069547821842	0.4035883787459848	0.34901840446851723	0.5454992020701334	-1.0820056856956637	-0.23784897926791734	0.3459545859915326	0.4495765079180963	0.2854245672141701	0.8132285908577378	0.7316815169459042	0.6559147081040466	0.47430847198825327	0.9889120038053194	0.8436735858661957	0.9826535973426399	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
3NVQC	-0.597123326757826	-0.6101740268155706	1.3199987027973579	0.1413007908300041	0.22538287188910172	0.3748022975751461	0.29984403421200456	0.4781504808665563	-2.649373138929727	-1.6279890245156077	4.402284361822765	0.2955153167971795	0.011288623797072952	0.1114993478090106	1.41573001587715e-4	0.7695959242616065	0.05546149952474972	0.9770563778141853	7.998874589705897e-4	0.9826535973426399	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
3NVRE	0.08062994540080093	-0.07275044623253835	-0.9243329493252729	0.1616899098010637	0.26137618869466095	0.4913582483475799	0.38619298562073273	0.6729335511092732	0.30848236713326876	-0.1480598859939677	-2.393448311443516	0.24027619002579342	0.7594001491836099	0.8830783815603345	0.02173479082186168	0.8114076941381746	0.8496259094826527	0.9942318693737984	0.05116732005979937	0.9826535973426399	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
