3	 Pseudopuniceibacterium
3	 Roseicitreum
3	 Gemmobacter
2	 Pukyongiella
2	 Profundibacter
1	 Pontivivens
1	 Silicimonas
1	 Aestuarium
1	 Yoonia
1	 Parasedimentitalea
38	 Sulfitobacter
20	 Roseovarius
15	 Salipiger
10	 Phaeobacter
8	 Celeribacter
7	 Leisingera
5	 Sagittula
5	 Ketogulonicigenium
5	 Ruegeria
4	 Roseobacter
4	 Antarctobacter
4	 Epibacterium
4	 Jannaschia
3	 Octadecabacter
3	 Actibacterium
3	 Roseivivax
2	 Marinovum
2	 Maribius
2	 Oceanicola
1	 Dinoroseobacter
1	 Thalassococcus
1	 Roseibacterium
1	 Mameliella
192	 Brevundimonas
54	 Caulobacter
6	 Asticcacaulis
3	 Phenylobacterium
1	 Terricaulis
7	 Marinicauda
2	 Hyphobacterium
1	 Glycocaulis
7	 Hyphomonas
2	 Rickettsia
1	 Orientia
1	 Ehrlichia
1	 Wolbachia
4	 Candidatus Nucleicultrix
1	 Candidatus Pelagibacter
1	 Micavibrio
1	 Magnetococcus
5130	 Achromobacter
41	 Bordetella
9	 Oligella
7	 Kerstersia
7	 Orrella
6	 Pusillimonas
5	 Basilea
3	 Alcaligenes
3	 Pigmentiphaga
3	 Castellaniella
2	 Advenella
1	 Taylorella
1	 Paenalcaligenes
88	 Variovorax
79	 Acidovorax
65	 Delftia
50	 Kinneretia
48	 Hydrogenophaga
42	 Rhodoferax
40	 Comamonas
19	 Ottowia
17	 Diaphorobacter
11	 Ramlibacter
9	 Melaminivora
7	 Polaromonas
7	 Alicycliphilus
6	 Limnohabitans
5	 Curvibacter
4	 Schlegelella
4	 Serpentinomonas
3	 Hylemonella
3	 Verminephrobacter
1	 Simplicispira
1	 Pulveribacter
140	 Burkholderia
109	 Cupriavidus
102	 Paraburkholderia
58	 Ralstonia
34	 Polynucleobacter
24	 Pandoraea
20	 Lautropia
7	 Caballeronia
5	 Mycoavidus
3	 Ephemeroptericola
2	 Mycetohabitans
1	 Limnobacter
83	 Massilia
30	 Janthinobacterium
21	 Collimonas
16	 Herbaspirillum
10	 Duganella
2	 Undibacterium
1	 Oxalobacter
1	 Herminiimonas
1	 Glaciimonas
1	 Noviherbaspirillum
17	 Rhizobacter
14	 Aquabacterium
13	 Thiomonas
10	 Methylibium
7	 Rubrivivax
5	 Mitsuaria
5	 Roseateles
5	 Inhella
4	 Leptothrix
4	 Paucibacter
3	 Tepidimonas
2	 Sphaerotilus
1	 Xylophilus
9	 Sutterella
342	 Nitrosomonas
25	 Nitrosospira
14	 Gallionella
7	 Sideroxydans
5	 Candidatus Nitrotoga
5	 Ferrigenium
1	 Ferriphaselus
9	 Denitratisoma
9	 Methyloversatilis
2	 Sterolibacterium
2	 Sulfuritalea
6	 Candidatus Methylopumilus
4	 Methylotenera
3	 Methylophilus
2	 Methylovorus
1	 Methylobacillus
8	 Sulfuriferula
6	 Sulfurimicrobium
3	 Sulfuricella
8	 Sulfuritortus
7	 Thiobacillus
8	 Usitatibacter
69	 Azospira
28	 Oryzomicrobium
8	 Aromatoleum
2	 Niveibacterium
2	 Rugosibacter
41	 Azoarcus
19	 Thauera
3	 Dechloromonas
1	 Fluviibacter
84	 Neisseria
5	 Kingella
4	 Snodgrassella
3	 Crenobacter
1	 Vitreoscilla
1	 Conchiformibius
12	 Chromobacterium
7	 Iodobacter
12	 Jeongeupia
9	 Paludibacterium
7	 Chitinibacter
6	 Laribacter
4	 Deefgea
3	 Aquaspirillum
3	 Vogesella
2	 Aquitalea
1	 Pseudogulbenkiania
2	 Candidatus Kinetoplastibacterium
14	 Corallococcus
12	 Myxococcus
1	 Pyxidicoccus
15	 Archangium
2	 Stigmatella
2	 Cystobacter
17	 Anaeromyxobacter
3	 Vulgatibacter
19	 Sorangium
3	 Chondromyces
8	 Minicystis
5	 Sandaracinus
2	 Labilithrix
6	 Haliangium
14	 Geobacter
3	 Geoalkalibacter
3	 Geomonas
6	 Desulfuromonas
3	 Pelobacter
3	 Syntrophotalea
10	 Desulfobulbus
4	 Desulfopila
1	 Desulfotalea
1	 Desulfurivibrio
3	 Desulfobacter
3	 Desulfosarcina
2	 Desulfococcus
1	 Desulfobacula
9	 Desulfovibrio
6	 Pseudodesulfovibrio
1	 Desulfomicrobium
1	 Desulfohalobium
4	 Candidatus Desulfofervidus
4	 Persicimonas
2	 Syntrophobacter
1	 Syntrophus
3	 Desulfarculus
7	 Campylobacter
6	 Arcobacter
1	 Sulfurospirillum
2	 Helicobacter
1	 Sulfuricurvum
5	 Bdellovibrio
2	 Bacteriovorax
4	 Mariprofundus
4	 Acidithiobacillus
259	 Chryseobacterium
48	 Epilithonimonas
7	 Kaistella
8	 Cloacibacterium
5	 Elizabethkingia
2	 Apibacter
1	 Empedobacter
1	 Cruoricaptor
17	 Flavobacterium
7	 Capnocytophaga
4	 Winogradskyella
