pangene	corr_p_vals	corr_coeff	species_tested_for	p_adj	significant	transcripts_from
DNF11_0340	0.556702317027762	-0.15918235294117647	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_0376	0.43114794261665357	-0.2119764705882353	Cutibacterium_acnes	0.8062309458811227	FALSE	Malassezia_restricta
DNF11_0379	0.44943569274130135	0.2041970588235294	Cutibacterium_acnes	0.8216955594563187	FALSE	Malassezia_restricta
DNF11_0435	0.11000021908042205	0.41709999999999997	Cutibacterium_acnes	0.5500335898263176	FALSE	Malassezia_restricta
DNF11_0545	0.1642521696137749	0.36745	Cutibacterium_acnes	0.6479614188742128	FALSE	Malassezia_restricta
DNF11_0549	0.5664245022394606	-0.15601176470588235	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_0629	0.5182535919276875	-0.1754441176470588	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_0651	0.5473200167516702	0.1628735294117647	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_0661	0.10897391258914353	0.41729999999999995	Cutibacterium_acnes	0.5500335898263176	FALSE	Malassezia_restricta
DNF11_0673	0.4237357892678291	-0.21633529411764704	Cutibacterium_acnes	0.8062309458811227	FALSE	Malassezia_restricta
DNF11_0676	0.8218582375361002	0.06167941176470588	Cutibacterium_acnes	0.9193572536443462	FALSE	Malassezia_restricta
DNF11_0711	0.71268116544138	-0.10055294117647058	Cutibacterium_acnes	0.8754013345871282	FALSE	Malassezia_restricta
DNF11_0738	0.24464983190568124	-0.3100411764705882	Cutibacterium_acnes	0.706745710171827	FALSE	Malassezia_restricta
DNF11_0757	0.033746010928401356	0.5355470588235294	Cutibacterium_acnes	0.3707865168322837	FALSE	Malassezia_restricta
DNF11_0767	0.034825252962148195	-0.5310176470588235	Cutibacterium_acnes	0.3707865168322837	FALSE	Malassezia_restricta
DNF11_0775	0.5678238466596447	-0.15486470588235293	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_0778	0.1835878725326144	0.3514529411764706	Cutibacterium_acnes	0.6618229179437011	FALSE	Malassezia_restricta
DNF11_0842	0.929833863822807	-6.499999999999999e-4	Cutibacterium_acnes	0.9406073206613819	FALSE	Malassezia_restricta
DNF11_0851	0.17094419793363252	0.3614529411764706	Cutibacterium_acnes	0.6583170175742018	FALSE	Malassezia_restricta
DNF11_0871	0.41755820167466495	0.21914411764705882	Cutibacterium_acnes	0.8062309458811227	FALSE	Malassezia_restricta
DNF11_0874	0.5543896513766151	0.1600205882352941	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_0876	0.7551985963074846	0.08481470588235293	Cutibacterium_acnes	0.8992825390240443	FALSE	Malassezia_restricta
DNF11_0916	8.928938171422403e-4	0.7503852941176471	Cutibacterium_acnes	0.03240252253695977	TRUE	Malassezia_restricta
DNF11_0939	0.18648049069131908	-0.3490441176470588	Cutibacterium_acnes	0.6618229179437011	FALSE	Malassezia_restricta
DNF11_0947	0.07989931334216364	-0.45230588235294117	Cutibacterium_acnes	0.5500335898263176	FALSE	Malassezia_restricta
DNF11_0965	0.28733667376495	0.2856941176470588	Cutibacterium_acnes	0.7325061683303655	FALSE	Malassezia_restricta
DNF11_0970	0.41597120731713777	-0.21936764705882353	Cutibacterium_acnes	0.8062309458811227	FALSE	Malassezia_restricta
DNF11_0971	0.6791304436875549	0.11302058823529411	Cutibacterium_acnes	0.8754013345871282	FALSE	Malassezia_restricta
DNF11_0972	0.5388453546560626	-0.16722941176470588	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_0973	0.31469386247796943	-0.26999117647058823	Cutibacterium_acnes	0.7353442822816195	FALSE	Malassezia_restricta
DNF11_1033	0.20578324484848537	0.3353529411764706	Cutibacterium_acnes	0.6668477095466155	FALSE	Malassezia_restricta
DNF11_1054	0.02748265133319	0.5515735294117646	Cutibacterium_acnes	0.3553114208076707	FALSE	Malassezia_restricta
DNF11_1058	0.32596667143557606	-0.26299999999999996	Cutibacterium_acnes	0.7374995941229909	FALSE	Malassezia_restricta
DNF11_1061	0.4560342263687044	-0.2009705882352941	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_1068	0.19813474743224613	-0.34090882352941176	Cutibacterium_acnes	0.6641183200969731	FALSE	Malassezia_restricta
DNF11_1070	0.05509229527392122	0.4890470588235294	Cutibacterium_acnes	0.48856609599500916	FALSE	Malassezia_restricta
DNF11_1107	0.9133690434301907	-0.02881470588235294	Cutibacterium_acnes	0.9406073206613819	FALSE	Malassezia_restricta
