OG	read_count_sum	RPK_sum	LIBID	feature_class	TPM
3046D|Bacteria	147	879.3137553256239	MHS413	bacteria_OG	26.373652719574732
3049Z|Bacteria	358	900.4768121118544	MHS413	bacteria_OG	27.008405794667926
304A6|Bacteria	206	520.8903204915168	MHS413	bacteria_OG	15.623297525402554
304AV|Bacteria	3	6.4935064935064934	MHS413	bacteria_OG	0.19476265912458554
304AY|Bacteria	53	75.44758228773472	MHS413	bacteria_OG	2.2629332496355503
304B2|Bacteria	12	11.0803324099723	MHS413	bacteria_OG	0.332337390639182
304B6|Bacteria	21	24.91103202846975	MHS413	bacteria_OG	0.747167781267983
304BK|Bacteria	31	107.6388888888889	MHS413	bacteria_OG	3.2284615786832345
304BZ|Bacteria	3	6.8965517241379315	MHS413	bacteria_OG	0.2068513758978357
304CF|Bacteria	1	4.62962962962963	MHS413	bacteria_OG	0.13885856252401008
304G9|Bacteria	7	22.0125786163522	MHS413	bacteria_OG	0.6602331652085007
304GC|Bacteria	71	309.9623465120541	MHS413	bacteria_OG	9.296839988618316
304GR|Bacteria	2594	8252.176598731796	MHS413	bacteria_OG	247.5112421219411
304GV|Bacteria	4	12.232415902140673	MHS413	bacteria_OG	0.36689234868729265
304GW|Bacteria	38	78.67494824016563	MHS413	bacteria_OG	2.359733087364544
304GX|Bacteria	6	28.177225029148854	MHS413	bacteria_OG	0.8451321761080443
304H4|Bacteria	485	896.6970390107837	MHS413	bacteria_OG	26.8950373610199
304HC|Bacteria	6010	22745.590241734597	MHS413	bacteria_OG	682.218712381122
304HE|Bacteria	36	146.19710360020812	MHS413	bacteria_OG	4.384955444637314
304HM|Bacteria	2	10.499338624338623	MHS413	bacteria_OG	0.31491138286695136
304HN|Bacteria	1	5.649717514124294	MHS413	bacteria_OG	0.16945451697845298
304HR|Bacteria	3	20	MHS413	bacteria_OG	0.5998689901037235
304HT|Bacteria	141	522.2985347985348	MHS413	bacteria_OG	15.665534730112578
304HW|Bacteria	3	9.615384615384615	MHS413	bacteria_OG	0.28839855293448247
304HY|Bacteria	2	9.66183574879227	MHS413	bacteria_OG	0.2897917826588036
304I3|Bacteria	181	792.4300969241118	MHS413	bacteria_OG	23.767712098483134
304I7|Bacteria	48	182.45607649401686	MHS413	bacteria_OG	5.472487117237681
304IP|Bacteria	3	11.72787589944865	MHS413	bacteria_OG	0.351759453593203
304N1|Bacteria	2	5.05050505050505	MHS413	bacteria_OG	0.15148206820801097
304P3|Bacteria	5	22.52252252252252	MHS413	bacteria_OG	0.6755281420086976
304P8|Bacteria	1	4.566210045662101	MHS413	bacteria_OG	0.13695639043464009
304PB|Bacteria	1	4.444444444444445	MHS413	bacteria_OG	0.13330422002304967
304PG|Bacteria	2	7.936507936507937	MHS413	bacteria_OG	0.23804325004116011
304RN|Bacteria	1	4.62962962962963	MHS413	bacteria_OG	0.13885856252401008
304RY|Bacteria	2	6.349206349206349	MHS413	bacteria_OG	0.1904346000329281
304RZ|Bacteria	2	4.901960784313726	MHS413	bacteria_OG	0.14702671326071656
304S7|Bacteria	1	5.555555555555555	MHS413	bacteria_OG	0.16663027502881209
304SW|Bacteria	1	6.172839506172839	MHS413	bacteria_OG	0.18514475003201342
304UP|Bacteria	7	13.355227148330597	MHS413	bacteria_OG	0.4005693311037453
304WJ|Bacteria	4	7.448789571694599	MHS413	bacteria_OG	0.22341489389337932
304WZ|Bacteria	1	3.367003367003367	MHS413	bacteria_OG	0.10098804547200733
3050G|Bacteria	2	3.3333333333333335	MHS413	bacteria_OG	0.09997816501728725
3050I|Bacteria	2	5.333333333333333	MHS413	bacteria_OG	0.1599650640276596
3050P|Bacteria	5466	6598.12073889733	MHS413	bacteria_OG	197.90040121123874
3050R|Bacteria	3	10.101010101010102	MHS413	bacteria_OG	0.302964136416022
3050X|Bacteria	2	3.898635477582846	MHS413	bacteria_OG	0.11693352633600847
3051Q|Bacteria	18148	12203.52644117443	MHS413	bacteria_OG	366.0258540985696
3052C|Bacteria	6	15.891778303125822	MHS413	bacteria_OG	0.4766492500824176
3052I|Bacteria	189	294.6637457244944	MHS413	bacteria_OG	8.837982178396642
3052M|Bacteria	2872	3691.5659818494373	MHS413	bacteria_OG	110.72279787166413
3052N|Bacteria	1358	2449.1663878710833	MHS413	bacteria_OG	73.45894838441056
