TYPE	ACCESSION	ALIAS
EXPERIMENT	ERX14354432	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:162-85521
EXPERIMENT	ERX14354433	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:163-85523
EXPERIMENT	ERX14354434	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:163-85525
EXPERIMENT	ERX14354435	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:163-85527
EXPERIMENT	ERX14354436	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:164-85529
EXPERIMENT	ERX14354437	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:164-85531
EXPERIMENT	ERX14354438	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:164-85533
EXPERIMENT	ERX14354439	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:165-85535
EXPERIMENT	ERX14354440	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:165-85537
EXPERIMENT	ERX14354441	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:165-85539
EXPERIMENT	ERX14354442	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:166-85541
EXPERIMENT	ERX14354443	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:166-85543
EXPERIMENT	ERX14354444	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:166-85545
EXPERIMENT	ERX14354445	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:167-85547
EXPERIMENT	ERX14354446	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:167-85549
EXPERIMENT	ERX14354447	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:167-85551
EXPERIMENT	ERX14354448	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:168-85553
EXPERIMENT	ERX14354449	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:168-85555
EXPERIMENT	ERX14354450	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:168-85557
EXPERIMENT	ERX14354451	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:169-85559
EXPERIMENT	ERX14354452	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:169-85561
EXPERIMENT	ERX14354453	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:170-85563
EXPERIMENT	ERX14354454	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:170-85565
EXPERIMENT	ERX14354455	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:170-85567
EXPERIMENT	ERX14354456	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:170-85569
EXPERIMENT	ERX14354457	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:171-85571
EXPERIMENT	ERX14354458	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:171-85573
EXPERIMENT	ERX14354459	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:171-85575
EXPERIMENT	ERX14354460	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:172-85577
EXPERIMENT	ERX14354461	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:172-85579
EXPERIMENT	ERX14354462	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:172-85581
EXPERIMENT	ERX14354463	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:173-85583
EXPERIMENT	ERX14354464	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:173-85585
