LIBID	BEFORE_FASTP	AFTER_FASTP	DUP_RATE	BT2_READS_START	PANGENE_ALIGN_RATE	K2_UNCLASSIFIED	K2_CLASSIFIED	MICROBE_COUNT
MHS570	21414312	20894633	0.0843933	4607210	75.79	194148	4413062	4412180
MHS571	49888288	49211667	0.0978232	409863	53.90	89248	320615	320371
MHS572	26370250	25876905	0.0868258	10017164	85.39	115300	9901864	9900542
MHS573	24628733	24028213	0.118464	9124941	53.32	1981089	7143852	7139335
MHS574	24914604	24490157	0.0957878	15092618	79.99	616990	14475628	14457849
MHS575	28392237	27832650	0.0957915	1846185	74.98	369040	1477145	1475726
MHS576	24899483	24337333	0.115077	8124075	45.99	1806106	6317969	6312679
MHS577	21195385	20582676	0.0755385	4994856	78.99	370442	4624414	4623184
MHS578	29770781	28902250	0.116565	11444797	53.48	3192066	8252731	8244474
MHS579	29045816	28533087	0.109572	12930200	37.91	4905456	8024744	8013975
MHS581	1700121	1500890	0.286324	922813	47.96	134940	787873	787445
MHS582	71864049	70984833	0.0938401	66145382	62.41	100967	66044415	65833324
MHS592	24858512	22515774	0.169851	6819737	53.61	727966	6091771	6088565
MHS601	7723298	7378615	0.125463	136869	67.73	8966	127903	127795
