LIBID	BEFORE_FASTP	AFTER_FASTP	DUP_RATE	AFT_HUMAN_RM	AFT_RIBO_RM	AFT_DEDUP	BT2_READS_START	PANGENE_ALIGN_RATE	K2_UNCLASSIFIED	K2_CLASSIFIED	MICROBE_COUNT	DV200
MHS390	36039845	35751645	0.642623	34237052	17397290	5469745	5469745	76.74	126946	5342799	5331436	85.8
MHS391	37868991	37483812	0.734498	36488765	36329887	4238248	4238248	61.52	226469	4011779	3995316	91.94
MHS392	31881639	31655308	0.598015	31636186	29350388	7779411	7779411	83.54	272523	7506888	7505390	87.27
MHS393	28954895	28625986	0.637162	28239918	27923650	5263087	5263087	78.66	201730	5061357	5056049	84.69
MHS394	29023424	28763116	0.688447	28098709	27444232	4003717	4003717	79.92	148533	3855184	3849755	82.02
MHS395	2335	2329	0.805401	1035	1035	63	63	70.63	9	54	54	83.18
MHS396	33448654	33221086	0.647379	32162022	26737407	5831541	5831541	68.43	630104	5201437	5194528	69.34
MHS397	1485	1481	0.825589	230	230	17	17	94.12		17	15	71.75
MHS398	56637716	56235530	0.746216	55877482	51295444	6242852	6242852	67.73	573409	5669443	5665856	69.63
MHS399	46005034	44783447	0.733299	38812003	33767046	3517740	3517740	49.8	781636	2736104	2704289	67.53
MHS400	129171373	127989237	0.737367								0	89.17
MHS401	132175467	130863961	0.742274								0	89.24
MHS402	52418068	52060325	0.686093	51937475	47421529	8519382	8519382	82.74	246977	8272405	8268530	89.25
MHS403	121764174	120720451	0.73227								0	87.59
MHS404	143756437	141969654	0.774513								0	81.66
MHS405	67011201	65225690	0.730566	50260152	45098558	4182500	4182500	64.63	334275	3848225	3769853	74.29
MHS406	27178113	26920792	0.627593	25657487	20416774	4704245	4704245	75.12	550127	4154118	4136354	79.74
MHS407	25238155	24998662	0.559324	24245274	18737625	6090878	6090878	79.58	278914	5811964	5803969	69.5
MHS408	28702972	28256013	0.590311	28171773	27749953	6489886	6489886	80.15	106705	6383181	6380301	84.33
MHS409	20075793	19813046	0.426549	19806409	19228168	8669972	8669972	86.57	125787	8544185	8542728	93.08
MHS410	22526248	22350302	0.591957	22330644	16458977	4880566	4880566	29.28	1477972	3402594	3399367	77.79
MHS411	20646555	20411004	0.590185	20297865	15255805	4564943	4564943	73.06	86133	4478810	4476435	87.62
MHS412	38083921	37662441	0.704523	36744442	30151329	4095019	4095019	61.94	707436	3387583	3377727	46.75
MHS413	36726581	36178663	0.469788	36170181	35169857	14068499	14068499	84.71	494958	13573541	13571085	86.75
MHS414	23242904	22983005	0.634431	20854829	19739876	4028502	4028502	77.53	446144	3582358	3567523	85.56
MHS415	20383135	20100523	0.495704	20057748	14124851	6367146	6367146	80.15	154626	6212520	6209044	76.93
MHS416	21495458	21276599	0.58718	21228600	20862267	5144126	5144126	80.21	105660	5038466	5036425	92.93
MHS417	2343	2253	0.677061	2111	2108	328	328	70.27	12	316	314	82.39
MHS418	51691981	50993879	0.746341	31440513	23995764	2670358	2670358	50.54	282129	2388229	2256828	81.65
MHS419	39199238	38814765	0.71469	37804881	26395241	3969611	3969611	68.13	122563	3847048	3838337	73.98
MHS420	190	188	0.789474	180	180	17	17	88.24		17	17	69.23
MHS421	35081022	34701169	0.695534	32673149	28858516	4376295	4376295	61.51	395702	3980593	3958677	81.66
MHS422	41590733	41191068	0.705718	39698711	25753778	4184939	4184939	65.34	375690	3809249	3787413	78.85
MHS423	40418233	39815724	0.720267	39609515	39131260	4712819	4712819	63.98	239768	4473051	4461735	87.66
MHS424	83382716	81874695	0.734569	80559782	75044820	8080733	8080733	53.3	1132680	6948053	6919499	81.42
MHS425	50804523	50240496	0.733348	50130499	49216101	5713598	5713598	65.52	98001	5615597	5611042	83.42
MHS426	48802117	48356760	0.750352	46331857	35448347	3806706	3806706	47.57	309044	3497662	3482050	83.49
MHS427	44021145	43447165	0.738254	42132895	26338116	3217958	3217958	57.17	122305	3095653	3083667	66.7
MHS428	33043000	32784748	0.741982	31068079	26438484	3077553	3077553	51.7	233032	2844521	2827407	59.29
MHS429	41305855	40518737	0.716335	40317282	32595311	4030413	4030413	63.4	273261	3757152	3750760	54.63
MHS430	42754243	42288942	0.733604	39039652	27379442	3450210	3450210	62.09	120431	3329779	3307027	75.56
MHS431	4482261	4383087	0.3846	842243	819404	252713	252713	32.48	39672	213041	92437	79.74
