feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	source
COG2001	Ch_RNA	Ch_RNA	-1.24187465291534	0.288776869013304	82	80	7.06368846820716e-5	0.0026444418284426	bacteria
3P2TQ	Ch_RNA	Ch_RNA	-1.37669438252375	0.320997343314604	82	40	7.07015607142761e-5	0.0026444418284426	fungi
3067W	Ch_RNA	Ch_RNA	1.61522199182237	0.376717558429744	82	54	7.58808116526189e-5	0.002817888141299755	bacteria
3P2CR	Ch_RNA	Ch_RNA	-1.67896325797276	0.392362930622378	82	7	7.67979555992017e-5	0.002826691255288977	fungi
COG0078	Ch_RNA	Ch_RNA	-1.37141871743844	0.32076235687652	82	78	7.72052622140863e-5	0.002826691255288977	bacteria
COG3861	Ch_RNA	Ch_RNA	-1.4115665774843	0.330958035138975	82	82	7.93207945510421e-5	0.002883837838257817	bacteria
COG0191	Ch_RNA	Ch_RNA	-1.38816357389893	0.325764368028767	82	78	8.10904107821248e-5	0.002916346203501382	bacteria
COG3634	Ch_RNA	Ch_RNA	-1.29532729800363	0.303933860042963	82	81	8.13368339118485e-5	0.002916346203501382	bacteria
COG1486	Ch_RNA	Ch_RNA	1.61052390420242	0.378038801498992	82	53	8.31966939658634e-5	0.002962600081702218	bacteria
COG3979	Ch_RNA	Ch_RNA	2.30243296347761	0.543885726960337	82	19	8.65010691722727e-5	0.003059313323990788	bacteria
COG1696	Ch_RNA	Ch_RNA	2.65198301864563	0.62866506406385	82	25	9.20849287312924e-5	0.0032063877051017623	bacteria
3NWY4	Ch_RNA	Ch_RNA	-1.48980913958997	0.354067977910132	82	41	9.22253246937208e-5	0.0032063877051017623	fungi
3P1UB	Ch_RNA	Ch_RNA	-1.54106862477094	0.364606449758403	82	6	9.25097433670445e-5	0.0032063877051017623	fungi
COG0636	Ch_RNA	Ch_RNA	-1.54829854766435	0.367388918056837	82	64	9.35209719781934e-5	0.0032199704193021693	bacteria
COG0576	Ch_RNA	Ch_RNA	-1.14666153781349	0.272646986059843	82	81	9.77516253286471e-5	0.00334349144791866	bacteria
COG1823	Ch_RNA	Ch_RNA	2.44218091283483	0.581059570783124	82	22	9.94167766314193e-5	0.003354861181938581	bacteria
3NV4I	Ch_RNA	Ch_RNA	-1.39993326754461	0.334015562692075	82	35	9.94228485707491e-5	0.003354861181938581	fungi
COG4365	Ch_RNA	Ch_RNA	2.63521093512368	0.628589363416178	82	19	1.0046489848741e-4	0.003354861181938581	bacteria
COG5512	Ch_RNA	Ch_RNA	1.59015799889786	0.37824116546473	82	50	1.0066519414934e-4	0.003354861181938581	bacteria
COG1330	Ch_RNA	Ch_RNA	1.92878360535207	0.459067065034447	82	60	1.0134287329644e-4	0.0033559337469311564	bacteria
COG0827	Ch_RNA	Ch_RNA	2.7398601844253	0.656390613514849	82	34	1.0619956905838e-4	0.0034945035413577064	bacteria
COG0745	Ch_RNA	Ch_RNA	-1.33478827780143	0.319870012412183	82	79	1.0878081132172e-4	0.003542344686984708	bacteria
COG0052	Ch_RNA	Ch_RNA	-1.30432478067705	0.312876575948993	82	79	1.1006691733258e-4	0.003542344686984708	bacteria
3NVZW	Ch_RNA	Ch_RNA	-1.64893680046005	0.394564097678757	82	18	1.1030624664048e-4	0.003542344686984708	fungi
COG0051	Ch_RNA	Ch_RNA	-1.31638086564588	0.315905983176129	82	79	1.1106023927265e-4	0.003542344686984708	bacteria
COG0394	Ch_RNA	Ch_RNA	-1.29458955408606	0.31077512377135	82	69	1.1103018380119e-4	0.003542344686984708	bacteria
COG2240	Ch_RNA	Ch_RNA	1.66347682840553	0.39961182426384	82	55	1.148704253912e-4	0.0036415325707856634	bacteria
COG2302	Ch_RNA	Ch_RNA	2.47475958354685	0.59649017006532	82	19	1.187578911908e-4	0.003741953189702844	bacteria
3NWPJ	Ch_RNA	Ch_RNA	-1.51378850892139	0.365027890724031	82	38	1.1949878148412e-4	0.0037426154514213243	fungi
COG2199	Ch_RNA	Ch_RNA	2.65826342707438	0.641849783814959	82	26	1.2039832706785e-4	0.00374820899656139	bacteria
COG1284	Ch_RNA	Ch_RNA	2.35912183419834	0.570389877588568	82	23	1.2338016576569e-4	0.0038181754869989425	bacteria
COG3142	Ch_RNA	Ch_RNA	1.72132836240001	0.416275580151446	82	51	1.2466420118197e-4	0.003831508169936716	bacteria
COG3845	Ch_RNA	Ch_RNA	1.76317670199466	0.426849736072917	82	69	1.2528493727433e-4	0.003831508169936716	bacteria
3NY3W	Ch_RNA	Ch_RNA	-1.21159801966179	0.293338832496189	82	44	1.2879373646008e-4	0.00391578149623366	fungi
COG1134	Ch_RNA	Ch_RNA	2.22527763453286	0.542500927038134	82	46	1.3432837143568e-4	0.004060309320314537	bacteria
COG0843	Ch_RNA	Ch_RNA	-1.17305063517993	0.285857073581443	82	81	1.3683117485266e-4	0.004112053630398725	bacteria
3NVJE	Ch_RNA	Ch_RNA	-1.84617358139251	0.451688516079378	82	42	1.446479312709e-4	0.004299141437951551	fungi
3P2QP	Ch_RNA	Ch_RNA	-1.28910422511038	0.315705612974419	82	39	1.4543837703417e-4	0.004299141437951551	fungi
3NVK6	Ch_RNA	Ch_RNA	1.37183337808417	0.336691668909959	82	33	1.4553739047499e-4	0.004299141437951551	fungi
COG0356	Ch_RNA	Ch_RNA	-1.35259852170866	0.331059556763735	82	78	1.4756560288336e-4	0.00433442694570954	bacteria
COG0249	Ch_RNA	Ch_RNA	2.40795000869884	0.590446700751596	82	48	1.5215971951848e-4	0.004444260571778525	bacteria
3P75R	Ch_RNA	Ch_RNA	-1.44084823570365	0.353706243042576	82	13	1.5322188625657e-4	0.00445028260697155	fungi
COG0687	Ch_RNA	Ch_RNA	2.7352911202105	0.672356068798657	82	29	1.544373740782e-4	0.004460666154625343	bacteria
COG5146	Ch_RNA	Ch_RNA	2.0934607047404	0.515059654921265	82	14	1.5720082859492e-4	0.004515398385994415	bacteria
337MV	Ch_RNA	Ch_RNA	2.43756789640668	0.601613328493031	82	13	1.5999461276234e-4	0.004570395559073658	bacteria
3NXNR	Ch_RNA	Ch_RNA	-1.56724245962282	0.387124569272394	82	32	1.6437735080361e-4	0.004669933589223871	fungi
COG2740	Ch_RNA	Ch_RNA	-1.4584273331972	0.36153958604988	82	66	1.7078683870931e-4	0.004825656382878819	bacteria
3P40N	Ch_RNA	Ch_RNA	-1.35341583240561	0.336825753389755	82	41	1.7358912995386e-4	0.0048780689200991325	fungi
COG4668	Ch_RNA	Ch_RNA	1.69976897334196	0.421163305813823	82	57	1.7451833412934e-4	0.0048780689200991325	bacteria
3P8HG	Ch_RNA	Ch_RNA	-1.17355705151058	0.29117569891526	82	5	1.8007107910887e-4	0.005006361178005428	fungi
COG3118	Ch_RNA	Ch_RNA	-1.17062241326356	0.291629308528072	82	80	1.8324191947545e-4	0.005067418826345024	bacteria
3NV6Q	Ch_RNA	Ch_RNA	-1.22485097760128	0.305891312964244	82	54	1.8634594008328e-4	0.005077232874765283	fungi
COG1302	Ch_RNA	Ch_RNA	-1.20783763432077	0.301308387940453	82	81	1.8748095386884e-4	0.005077232874765283	bacteria
COG1622	Ch_RNA	Ch_RNA	-1.18528949052913	0.295767052764723	82	79	1.8749314166147e-4	0.005077232874765283	bacteria
COG2839	Ch_RNA	Ch_RNA	2.65977606357707	0.66409364910638	82	19	1.8778356136603e-4	0.005077232874765283	bacteria
COG1363	Ch_RNA	Ch_RNA	2.30904811438686	0.576259235861528	82	29	1.8847969702437e-4	0.005077232874765283	bacteria
3P544	Ch_RNA	Ch_RNA	-1.2762354293174	0.319061088564434	82	7	2.1223110863321e-4	0.005687574916412674	fungi
33EJD	Ch_RNA	Ch_RNA	1.35729343208753	0.341556465951108	82	50	2.1448872864813e-4	0.005694482328173968	bacteria
COG0544	Ch_RNA	Ch_RNA	-1.07505976280517	0.271015894843729	82	82	2.1467946457436e-4	0.005694482328173968	bacteria
COG2099	Ch_RNA	Ch_RNA	1.39709916586899	0.351994897999523	82	50	2.1994765965681e-4	0.0058046085408921585	bacteria
3P6QV	Ch_RNA	Ch_RNA	-1.45958798913787	0.369552335037035	82	5	2.2231944291627e-4	0.005837569614755999	fungi
COG0758	Ch_RNA	Ch_RNA	1.53115738604288	0.387026370004455	82	56	2.2448171576365e-4	0.005864725830428223	bacteria
COG1164	Ch_RNA	Ch_RNA	2.22658517972937	0.564317403357865	82	40	2.2622995134756e-4	0.005880847585279823	bacteria
COG3743	Ch_RNA	Ch_RNA	1.57654361204957	0.40776758505691	82	4	2.2741247208456e-4	0.005882176330187202	bacteria
3NYDF	Ch_RNA	Ch_RNA	-1.39121140298307	0.353157051212812	82	39	2.3208385092724e-4	0.005973286836488716	fungi
COG1764	Ch_RNA	Ch_RNA	-1.06424442014804	0.270097026241862	82	80	2.3411430905492e-4	0.005983723235904109	bacteria
COG5542	Ch_RNA	Ch_RNA	1.68598324213418	0.427134840339526	82	64	2.3479121756577e-4	0.005983723235904109	bacteria
